"SCENARIO","RUNTIME","NORM_RUNTIME","UGA_MEM","PGA_MEM","MLE_MEM","JAVA_MEM","MEM_TOT"
"plsql",0.003764,1,793552,2372760,0,0,3166312
"java",0.427918,113.7,981584,13382808,0,1085440,15449832
"djs",0.042898,11.4,1047040,24892568,58608748,0,84548356
"js",0.036822,9.8,1047040,24827032,57429100,0,83303172
