"SCENARIO","RUNTIME","NORM_RUNTIME","UGA_MEM","PGA_MEM","MLE_MEM","JAVA_MEM","MEM_TOT"
"plsql",0.005965,1,793552,2372760,0,0,3166312
"java",0.578892,97,981584,13382808,0,1081344,15445736
"djs",0.069626,11.7,1047040,24892568,58608748,0,84548356
"js",0.064452,10.8,1047040,24827032,57429100,0,83303172
