"SCENARIO","RUNTIME","NORM_RUNTIME","UGA_MEM","PGA_MEM","MLE_MEM","JAVA_MEM","MEM_TOT"
"plsql",0.003746,1,793552,2372760,0,0,3166312
"java",0.431144,115.1,981584,13382808,0,1081344,15445736
"djs",0.042676,11.4,1047040,24892568,58608748,0,84548356
"js",0.036394,9.7,1047040,24827032,57429100,0,83303172
