"SCENARIO","RUNTIME","NORM_RUNTIME","UGA_MEM","PGA_MEM","MLE_MEM","JAVA_MEM","MEM_TOT"
"plsql",0.664876,1,850600,2438296,0,0,3288896
"java",37.409742,56.3,859032,18166936,0,1447936,20473904
"djs",440.052887,661.9,924512,24892568,108450840,0,134267920
"djs2",40.50958,60.9,1687824,25023640,70087000,0,96798464
"js",5.274226,7.9,924512,24761496,69316952,0,95002960
