"SCENARIO","RUNTIME","NORM_RUNTIME","UGA_MEM","PGA_MEM","MLE_MEM","JAVA_MEM","MEM_TOT"
"plsql",0.776221,29.6,660264,2431328,0,0,3091592
"java",41.217144,1572.2,725768,20978016,0,1431552,23135336
"djs",395.592874,15089.2,1366480,17918304,29778376,0,49063160
"djs2",26.878338,1025.2,1562872,18311520,86272792,0,106147184
"js",2.308713,88.1,1301000,17852768,140946200,0,160099968
"jsloop",0.026217,1,1301000,17852768,41242760,0,60396528
