"SCENARIO","RUNTIME","NORM_RUNTIME","UGA_MEM","PGA_MEM","MLE_MEM","JAVA_MEM","MEM_TOT"
"plsql",0.432731,1,850600,2438296,0,0,3288896
"java",27.39529,63.3,859032,18101400,0,1447936,20408368
"djs",311.730564,720.4,924512,24892568,108451512,0,134268592
"djs2",24.785823,57.3,1120904,25089176,70087000,0,96297080
"js",1.375243,3.2,924512,24761496,69316952,0,95002960
