"SCENARIO","RUNTIME","NORM_RUNTIME","UGA_MEM","PGA_MEM","MLE_MEM","JAVA_MEM","MEM_TOT"
"plsql",0.063223,1,2986032,6894744,0,0,9880776
"java",18.221354,288.2,3405456,29897880,0,1261568,34564904
"djs",0.487282,7.7,2979072,27645080,58608748,0,89232900
"js",0.60894,9.6,2982976,27710616,57429100,0,88122692
