"SCENARIO","RUNTIME","NORM_RUNTIME","UGA_MEM","PGA_MEM","MLE_MEM","JAVA_MEM","MEM_TOT"
"plsql",0.030506,1,2979088,7025816,0,0,10004904
"java",10.869491,356.3,4512536,29045912,0,1261568,34820016
"djs",0.104717,3.4,2979088,27972760,58608748,0,89560596
"js",0.155891,5.1,3105144,27907224,57429100,0,88441468
