"SCENARIO","RUNTIME","NORM_RUNTIME","UGA_MEM","PGA_MEM","MLE_MEM","JAVA_MEM","MEM_TOT"
"plsql",0.022181,1,2799472,6756704,0,0,9556176
"java",7.55422,340.6,3275200,27645624,0,1699840,32620664
"djs",0.274195,12.4,2799472,20260536,29970316,0,53030324
"js",0.326672,14.7,2864952,20277600,29052812,0,52195364
