"SCENARIO","RUNTIME","NORM_RUNTIME","UGA_MEM","PGA_MEM","MLE_MEM","JAVA_MEM","MEM_TOT"
"plsql",2.251132,1,725744,2431328,0,0,3157072
"dplsql",2.626373,1.2,725744,2431328,0,0,3157072
"js",17.476576,7.8,1301000,41314656,128275137,0,170890793
"jsloop",14.494807,6.4,1301000,41314656,72176321,0,114791977
