"LOG_ID","START_TIME","SCENARIO","RUN","NO_OF_CALLS","STMT","START_DB_TIME","START_SESSION_UGA_MEMORY_MAX","START_SESSION_PGA_MEMORY_MAX","START_MLE_TOTAL_MEMORY_IN_USE","START_JAVA_SESSION_HEAP_USED_SIZE_MAX","END_TIME","END_DB_TIME","END_SESSION_UGA_MEMORY_MAX","END_SESSION_PGA_MEMORY_MAX","END_MLE_TOTAL_MEMORY_IN_USE","END_JAVA_SESSION_HEAP_USED_SIZE_MAX","ERROR"
214,14.08.2024 08:45:04.600592000,"increase_salary_100k dplsql",1,100000,"begin
   for i in 1..100000
   loop
      begin increase_salary_dplsql(in_deptno => 10, in_by_percent => 0); end;
   end loop;
end;",6,2210120,3610976,0,0,14.08.2024 08:45:07.349624000,6,2210120,3610976,0,0,""
215,14.08.2024 08:45:15.097233000,"increase_salary_100k dplsql",2,100000,"begin
   for i in 1..100000
   loop
      begin increase_salary_dplsql(in_deptno => 10, in_by_percent => 0); end;
   end loop;
end;",4,660264,2365792,0,0,14.08.2024 08:45:17.723606000,4,725744,2431328,0,0,""
216,14.08.2024 08:45:25.396016000,"increase_salary_100k dplsql",3,100000,"begin
   for i in 1..100000
   loop
      begin increase_salary_dplsql(in_deptno => 10, in_by_percent => 0); end;
   end loop;
end;",4,660264,2365792,0,0,14.08.2024 08:45:28.074634000,4,725744,2431328,0,0,""
217,14.08.2024 08:45:35.874673000,"increase_salary_100k dplsql",4,100000,"begin
   for i in 1..100000
   loop
      begin increase_salary_dplsql(in_deptno => 10, in_by_percent => 0); end;
   end loop;
end;",3,660264,2365792,0,0,14.08.2024 08:45:38.542370000,3,725744,2431328,0,0,""
218,14.08.2024 08:45:46.327600000,"increase_salary_100k dplsql",5,100000,"begin
   for i in 1..100000
   loop
      begin increase_salary_dplsql(in_deptno => 10, in_by_percent => 0); end;
   end loop;
end;",4,660264,2365792,0,0,14.08.2024 08:45:49.025959000,4,725744,2431328,0,0,""
219,14.08.2024 08:45:56.797538000,"increase_salary_100k plsql",1,100000,"begin
   for i in 1..100000
   loop
      begin increase_salary_plsql(in_deptno => 10, in_by_percent => 0); end;
   end loop;
end;",6,725768,2496864,0,0,14.08.2024 08:45:59.098816000,6,791176,2693472,0,0,""
220,14.08.2024 08:46:06.920752000,"increase_salary_100k plsql",2,100000,"begin
   for i in 1..100000
   loop
      begin increase_salary_plsql(in_deptno => 10, in_by_percent => 0); end;
   end loop;
end;",3,660264,2365792,0,0,14.08.2024 08:46:09.222829000,3,725744,2431328,0,0,""
221,14.08.2024 08:46:16.978259000,"increase_salary_100k plsql",3,100000,"begin
   for i in 1..100000
   loop
      begin increase_salary_plsql(in_deptno => 10, in_by_percent => 0); end;
   end loop;
end;",4,660264,2365792,0,0,14.08.2024 08:46:19.370520000,4,725744,2431328,0,0,""
222,14.08.2024 08:46:27.063599000,"increase_salary_100k plsql",4,100000,"begin
   for i in 1..100000
   loop
      begin increase_salary_plsql(in_deptno => 10, in_by_percent => 0); end;
   end loop;
end;",5,660264,2365792,0,0,14.08.2024 08:46:29.436910000,5,725744,2431328,0,0,""
223,14.08.2024 08:46:37.192871000,"increase_salary_100k plsql",5,100000,"begin
   for i in 1..100000
   loop
      begin increase_salary_plsql(in_deptno => 10, in_by_percent => 0); end;
   end loop;
end;",5,660264,2365792,0,0,14.08.2024 08:46:39.444003000,5,725744,2431328,0,0,""
224,14.08.2024 08:46:47.236362000,"increase_salary_100k js",1,100000,"begin
   for i in 1..100000
   loop
      begin increase_salary_js(in_deptno => 10, in_by_percent => 0); end;
   end loop;
end;",9,1445976,18114912,29053549,0,14.08.2024 08:47:04.851494000,9,1445976,41707872,128275137,0,""
225,14.08.2024 08:47:13.115876000,"increase_salary_100k js",2,100000,"begin
   for i in 1..100000
   loop
      begin increase_salary_js(in_deptno => 10, in_by_percent => 0); end;
   end loop;
end;",8,1301000,17787232,29053549,0,14.08.2024 08:47:30.976314000,8,1301000,41314656,128275137,0,""
226,14.08.2024 08:47:39.214223000,"increase_salary_100k js",3,100000,"begin
   for i in 1..100000
   loop
      begin increase_salary_js(in_deptno => 10, in_by_percent => 0); end;
   end loop;
end;",9,1301000,17787232,29053549,0,14.08.2024 08:47:57.626142000,9,1301000,41314656,128275137,0,""
227,14.08.2024 08:48:06.199461000,"increase_salary_100k js",4,100000,"begin
   for i in 1..100000
   loop
      begin increase_salary_js(in_deptno => 10, in_by_percent => 0); end;
   end loop;
end;",11,1301000,17787232,29053549,0,14.08.2024 08:48:24.045318000,11,1301000,41314656,128406209,0,""
228,14.08.2024 08:48:32.084074000,"increase_salary_100k js",5,100000,"begin
   for i in 1..100000
   loop
      begin increase_salary_js(in_deptno => 10, in_by_percent => 0); end;
   end loop;
end;",7,1301000,17787232,29053549,0,14.08.2024 08:48:49.560650000,7,1301000,41314656,128275137,0,""
229,14.08.2024 08:48:58.057639000,"increase_salary_100k jsloop",1,1,"begin increase_salary_jsloop(in_deptno => 10, in_by_percent => 0, in_times => 100000); end;",9,1497344,18180448,29053549,0,14.08.2024 08:49:12.955314000,9,1497344,41576800,72176321,0,""
230,14.08.2024 08:49:20.964567000,"increase_salary_100k jsloop",2,1,"begin increase_salary_jsloop(in_deptno => 10, in_by_percent => 0, in_times => 100000); end;",8,1301000,17787232,29053549,0,14.08.2024 08:49:35.498668000,8,1301000,41314656,72176321,0,""
231,14.08.2024 08:49:43.778233000,"increase_salary_100k jsloop",3,1,"begin increase_salary_jsloop(in_deptno => 10, in_by_percent => 0, in_times => 100000); end;",6,1301000,17787232,29053549,0,14.08.2024 08:49:58.550357000,6,1301000,41314656,72176321,0,""
232,14.08.2024 08:50:06.837238000,"increase_salary_100k jsloop",4,1,"begin increase_salary_jsloop(in_deptno => 10, in_by_percent => 0, in_times => 100000); end;",8,1301000,17787232,29053549,0,14.08.2024 08:50:21.332045000,8,1301000,41314656,72176321,0,""
