"SCENARIO","RUNTIME","NORM_RUNTIME","UGA_MEM","PGA_MEM","MLE_MEM","JAVA_MEM","MEM_TOT"
"plsql",3.993414,1,859032,2503832,0,0,3362864
"dplsql",4.312154,1.1,2400432,3880088,0,0,6280520
"js",30.679672,7.7,1055472,24892568,120074776,0,146022816
"jsloop",25.622947,6.4,2277104,25941144,59781656,0,87999904
