"SCENARIO","RUNTIME","NORM_RUNTIME","UGA_MEM","PGA_MEM","MLE_MEM","JAVA_MEM","MEM_TOT"
"plsql",8.936107,1,981536,2700440,0,0,3681976
"dplsql",9.722459,1.1,859032,2503832,0,0,3362864
"js",48.590124,5.4,1186360,25416856,120074776,0,146677992
"jsloop",45.61604,5.1,2277104,30659736,59781656,0,92718496
